line_id,description,dimensions_mm,board_grade,ply,quarterly_quantity,unit,delivery_location,required_delivery_date
L-01,Small shipper,400x300x250,kraft,5,13000,piece,Pune plant,2026-10-15
L-02,Medium shipper,300x220x180,kraft,5,9500,piece,Pune plant,2026-10-15
L-03,Large shipper,600x400x350,kraft,5,9000,piece,Pune plant,2026-10-15
L-04,Accessory carton,250x180x120,kraft,3,7200,piece,Pune plant,2026-10-15
L-05,Heavy-duty shipper,700x500x400,kraft,5,5600,piece,Pune plant,2026-10-15
L-06,Small die-cut,220x160x100,kraft,3,4200,piece,Pune plant,2026-10-15
L-07,Medium die-cut,350x250x160,kraft,5,4200,piece,Pune plant,2026-10-15
L-08,Large die-cut,500x350x260,kraft,5,3800,piece,Pune plant,2026-10-15
L-09,Long shipper,800x300x250,kraft,5,2400,piece,Pune plant,2026-10-15
L-10,Flat pack carton,450x350x80,kraft,3,2600,piece,Pune plant,2026-10-15
L-11,Sample carton A,200x150x100,kraft,3,1600,piece,Pune plant,2026-10-15
L-12,Sample carton B,280x200x120,kraft,3,1600,piece,Pune plant,2026-10-15
L-13,Export shipper A,550x400x300,kraft,5,6200,piece,Pune plant,2026-10-15
L-14,Export shipper B,650x450x350,kraft,5,5200,piece,Pune plant,2026-10-15
L-15,Divider set A,390x290x240,kraft,3,5200,set,Pune plant,2026-10-15
L-16,Divider set B,590x390x340,kraft,3,4200,set,Pune plant,2026-10-15
L-17,Returnable carton,500x400x300,kraft,5,3200,piece,Pune plant,2026-10-15
L-18,Reinforced carton,600x450x350,kraft,5,3000,piece,Pune plant,2026-10-15
L-19,Corner carton,320x240x200,kraft,5,2400,piece,Pune plant,2026-10-15
L-20,Long accessory,750x220x180,kraft,3,1900,piece,Pune plant,2026-10-15
L-21,Electronics carton,420x320x220,kraft,5,2700,piece,Pune plant,2026-10-15
L-22,Motor carton,480x380x300,kraft,5,2200,piece,Pune plant,2026-10-15
L-23,Spare parts carton,360x260x180,kraft,3,2400,piece,Pune plant,2026-10-15
L-24,Top-load carton,520x420x320,kraft,5,1900,piece,Pune plant,2026-10-15
L-25,Bottom-load carton,520x420x320,kraft,5,1900,piece,Pune plant,2026-10-15
L-26,Partitioned carton,440x340x240,kraft,5,1700,piece,Pune plant,2026-10-15
L-27,Archive carton,380x280x240,kraft,3,1300,piece,Pune plant,2026-10-15
L-28,Display carton,600x300x250,kraft,5,1100,piece,Pune plant,2026-10-15
L-29,Transit carton,700x450x350,kraft,5,1500,piece,Pune plant,2026-10-15
L-30,Custom carton,900x600x450,kraft,5,900,piece,Pune plant,2026-10-15
